"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000138031.14",0.117319279746823,0.00857663577768292,0.0258273588018259,"TTLL7"
"ENSG00000227203.3",0.117304887649696,0.00858482690296479,0.0258506590793128,"YBX1P8"
"ENSG00000256025.2",0.117303936980183,0.00858536821289604,0.0258509229623245,"DSTNP3"
"ENSG00000250838.1",0.117287966524709,0.00859446631784439,0.0258762396814981,"R3HDM2P1"
"ENSG00000239783.1",0.11728758388403,0.00859468440729425,0.0258762396814981,"AP000534.2"
"ENSG00000286976.1",0.117284240731904,0.00859659007632234,0.0258806096655003,"AC009102.3"
"ENSG00000249697.1",0.117281244072911,0.00859829855682609,0.0258834733738677,"SEPTIN14P2"
"ENSG00000236024.1",0.117280978836585,0.00859844979017465,0.0258834733738677,"KBTBD13"
"ENSG00000175809.6",0.11728006179878,0.00859897268817083,0.0258836800182072,"UCP2"
"ENSG00000286953.1",0.117277608618992,0.00860037163873494,0.0258865234983232,"AC112204.3"
"ENSG00000230392.1",0.117266198615534,0.00860688097459735,0.0259047477716845,"MTCO3P30"
"ENSG00000117016.10",0.11726168295606,0.00860945834267567,0.0259111364191624,"BMP8B"
"ENSG00000238833.1",0.117258015607016,0.00861155203329898,0.0259152880678217,"YME1L1P1"
"ENSG00000229914.1",0.117256336798474,0.00861251061697545,0.0259161511959569,"LINC01005"
"ENSG00000227659.1",0.11725104838324,0.00861553087330612,0.0259225665166256,"RPL22P3"
"ENSG00000201581.1",0.117246912472033,0.00861789358308925,0.0259271756159448,"Y_RNA"
"ENSG00000178796.13",0.117246773880674,0.00861797276576394,0.0259271756159448,"P4HTM"
"ENSG00000255116.2",0.117242579039629,0.00862036974968568,0.0259330177238181,"AC084026.1"
"ENSG00000137094.15",0.11722638601364,0.0086296282190941,0.0259594998179813,"ARPC5L"
"ENSG00000100504.17",0.117223692292062,0.00863116923156517,0.0259627648199237,"SOS2"
"ENSG00000187942.12",0.117220738838814,0.00863285911203495,0.0259664772520515,"DHRS4L2"
"ENSG00000255259.2",0.117219476292093,0.00863358159468625,0.0259672796435375,"AC024451.2"
"ENSG00000278153.1",0.117217947317616,0.00863445661071124,0.0259685407017279,"AL392183.1"
"ENSG00000202241.1",0.117211647809881,0.00863806258643565,0.0259780146850525,"Y_RNA"
"ENSG00000279133.1",0.117203241268935,0.00864287676436571,0.0259908612277969,"AL353801.3"
"ENSG00000206623.1",0.117202595789284,0.00864324651033718,0.0259908612277969,"TRIQK"
"ENSG00000131095.13",0.11719922230427,0.00864517915149338,0.0259953009620709,"LATS1"
"ENSG00000248462.1",0.117186490373449,0.00865247663727247,0.0260144982729223,"AC090515.1"
"ENSG00000211833.1",0.117176076666563,0.00865844948075623,0.0260297092889612,"MIR647"
"ENSG00000280117.1",0.11715856955258,0.00866849907086363,0.0260571716373117,"MIR6762"
"ENSG00000225303.2",0.117142196725791,0.00867790695143725,0.0260830819766672,"AC018797.1"
"ENSG00000251188.1",0.117141975337975,0.00867803422392826,0.0260830819766672,"KRT18P25"
"ENSG00000186038.9",0.117137599987568,0.00868054988766976,0.0260878909888877,"SPATA31A6"
"ENSG00000258388.7",0.117133109054383,0.00868313268297751,0.0260942768529477,"AC013549.4"
"ENSG00000160888.7",0.117132309527416,0.00868359257335172,0.0260942826928675,"CHRNB2"
"ENSG00000223946.1",0.117131394712966,0.00868411880406462,0.0260944878750412,"RNU6-141P"
