"sample","sample_short","sample_short10","wtko","condition","group","gene","expr"
"WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","WT2965C","WT2965C_OE","WT","control","WT_control","VIM",17.0156532903788
"KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2897P","KO2897P_OE","KO","treated","KO_treated","VIM",17.0619758095021
"KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2908P","KO2908P_OE","KO","treated","KO_treated","VIM",17.4575981619502
"KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2912C","KO2912C_OE","KO","control","KO_control","VIM",17.127637022594
"KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2913C","KO2913C_OE","KO","control","KO_control","VIM",17.3741376229619
"KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2918C","KO2918C_OE","KO","control","KO_control","VIM",17.1607389024608
"KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2960C","KO2960C_OE","KO","control","KO_control","VIM",17.3671758272138
"KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1","KO2966P","KO2966P_OE","KO","treated","KO_treated","VIM",17.0006750944616
"WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2888P","WT2888P_OE","WT","treated","WT_treated","AURKA",10.2926029148787
"WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2896P","WT2896P_OE","WT","treated","WT_treated","AURKA",10.3865645689123
"WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2898C","WT2898C_OE","WT","control","WT_control","AURKA",10.2437396448723
"WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2909P","WT2909P_OE","WT","treated","WT_treated","AURKA",9.86148601871025
"WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2910C","WT2910C_OE","WT","control","WT_control","AURKA",10.0732494752866
"WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2921C","WT2921C_OE","WT","control","WT_control","AURKA",9.67167888928423
"WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","WT2965C","WT2965C_OE","WT","control","WT_control","AURKA",10.0693720336247
"KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2897P","KO2897P_OE","KO","treated","KO_treated","AURKA",10.1916061722229
"KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2908P","KO2908P_OE","KO","treated","KO_treated","AURKA",9.85377359105613
"KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2912C","KO2912C_OE","KO","control","KO_control","AURKA",9.96571958120378
"KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2913C","KO2913C_OE","KO","control","KO_control","AURKA",9.6131116241017
"KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2918C","KO2918C_OE","KO","control","KO_control","AURKA",10.0004196330076
"KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2960C","KO2960C_OE","KO","control","KO_control","AURKA",9.91838229914788
"KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1","KO2966P","KO2966P_OE","KO","treated","KO_treated","AURKA",10.0933027076631
"WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2888P","WT2888P_OE","WT","treated","WT_treated","BRCA1",9.07919054724222
"WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2896P","WT2896P_OE","WT","treated","WT_treated","BRCA1",9.7181806858819
"WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2898C","WT2898C_OE","WT","control","WT_control","BRCA1",9.37986009602542
"WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2909P","WT2909P_OE","WT","treated","WT_treated","BRCA1",8.90393417487313
"WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2910C","WT2910C_OE","WT","control","WT_control","BRCA1",8.9761961495742
"WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2921C","WT2921C_OE","WT","control","WT_control","BRCA1",8.93250917185031
"WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","WT2965C","WT2965C_OE","WT","control","WT_control","BRCA1",9.0667381209463
"KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2897P","KO2897P_OE","KO","treated","KO_treated","BRCA1",9.43194140638039
"KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2908P","KO2908P_OE","KO","treated","KO_treated","BRCA1",9.02206294385132
"KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2912C","KO2912C_OE","KO","control","KO_control","BRCA1",9.0374100233864
"KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2913C","KO2913C_OE","KO","control","KO_control","BRCA1",8.90215864308315
"KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2918C","KO2918C_OE","KO","control","KO_control","BRCA1",9.00912091768953
"KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2960C","KO2960C_OE","KO","control","KO_control","BRCA1",9.07462438654873
"KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1","KO2966P","KO2966P_OE","KO","treated","KO_treated","BRCA1",9.45492728706565
"WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2888P","WT2888P_OE","WT","treated","WT_treated","BRCA2",8.57471531488035
"WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2896P","WT2896P_OE","WT","treated","WT_treated","BRCA2",8.88916530478555
"WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2898C","WT2898C_OE","WT","control","WT_control","BRCA2",8.8694993444156
"WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2909P","WT2909P_OE","WT","treated","WT_treated","BRCA2",8.51734925872347
"WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2910C","WT2910C_OE","WT","control","WT_control","BRCA2",8.86840566160214
"WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2921C","WT2921C_OE","WT","control","WT_control","BRCA2",8.75403718726365
